class id file_number color_1 color_2 color_3 color_4 color_5
15 2 197     
15 2 219 lightslategray darkslategray black dimgray dimgray
15 2 229 darkgray gray darkslategray darkslategray dimgray
15 2 269 darkgray darkslategray black gray dimgray
15 2 276 lightslategray black dimgray darkslategray darkslategray
15 2 400 darkolivegreen gray black darkolivegreen dimgray
15 2 402 darkolivegreen gray black darkolivegreen dimgray
15 2 404 darkolivegreen gray black darkolivegreen dimgray
15 2 406 darkolivegreen gray black darkolivegreen dimgray
15 2 408 darkolivegreen gray black darkolivegreen dimgray
15 2 410     
15 2 412 darkolivegreen gray black darkolivegreen dimgray
15 2 414     
15 2 416     
15 2 418     
15 2 420 darkolivegreen gray black darkolivegreen dimgray
15 2 422     
15 2 424     
15 2 426 darkseagreen black dimgray darkolivegreen darkolivegreen
15 2 428     
15 2 430 darkolivegreen darkseagreen black darkolivegreen dimgray
15 2 432     
15 2 434     
15 2 436     
15 2 438     
15 2 440 darkolivegreen darkseagreen black darkolivegreen dimgray
15 2 442 darkolivegreen gray black darkolivegreen dimgray
15 2 444     
15 2 446 darkolivegreen gray black darkolivegreen dimgray
15 2 448 darkolivegreen gray black darkolivegreen dimgray
15 2 450 darkolivegreen gray black darkolivegreen dimgray
15 2 452 darkolivegreen gray black darkolivegreen dimgray
15 2 454 darkolivegreen gray black darkolivegreen dimgray
